source_name,url,used_for
TOTO Việt Nam - bảng giá chậu rửa mặt,https://vn.toto.com/gia-chau-rua-mat/,Khoảng giá chậu rửa mặt TOTO
TOTO Việt Nam - bảng giá vòi chậu,https://vn.toto.com/gia-voi-chau-rua-mat/,Khoảng giá vòi lavabo TOTO
TOTO Việt Nam - bảng giá thiết bị vệ sinh,https://vn.toto.com/gia-thiet-bi-ve-sinh-toto/,Khoảng giá tổng quan thiết bị vệ sinh TOTO
INAX Việt Nam - basin,https://www.inax.com.vn/vi/san-pham/basin/,Danh mục lavabo/chậu rửa
INAX Việt Nam - giá bồn rửa mặt,https://www.inax.com.vn/vi/news/gia-bon-rua-mat/,Mã và giá chậu rửa bán âm
INAX Việt Nam - lavabo âm bàn,https://www.inax.com.vn/vi/news/lavabo-am-ban/,Mã và giá chậu rửa âm bàn
INAX Việt Nam - toilet,https://www.inax.com.vn/vi/san-pham/toilet/,Khoảng giá bàn cầu
INAX Việt Nam - bàn cầu 1 khối,https://www.inax.com.vn/vi/san-pham/ban-cau-1-khoi/,Mã và giá bồn cầu 1 khối
INAX Việt Nam - phụ kiện,https://www.inax.com.vn/vi/san-pham/accessories/,Sen tắm/phụ kiện/nắp rửa
INAX Việt Nam - bộ xả lavabo,https://www.inax.com.vn/vi/bo-xa-lavabo/,Bộ xả và xi phông
Caesar - lavabo,https://caesar.com.vn/Vn/san-pham/loai/2/lavabo,Mã và giá lavabo/tủ lavabo Caesar
Caesar - lavabo treo tường,https://caesar.com.vn/vi/san-pham/loai/25/lavabo-treo-tuong,Mã và giá lavabo treo Caesar
Caesar - lavabo tủ treo,https://caesar.com.vn/vi/san-pham/loai/26/lavabo-tu-treo,Mã và giá tủ lavabo Caesar
GROHE Việt Nam,https://www.grohe.vn/,Tham khảo brand/danh mục vòi sen/vòi lavabo
Häfele showroom,https://hafelehome.com.vn/blogs/tin-tuc/showroom-hafele-nguyen-van-troi-tphcm,Tham khảo danh mục showroom phòng tắm
Hải Linh gạch ốp lát,https://hailinh.com.vn/gach-op-lat/,Tham khảo danh mục gạch/brand gạch
Gạch Thạch Bàn,https://gachthachban.vn/,Mã và giá tham khảo gạch
KHATRA gạch nhập khẩu,https://khatra.com.vn/,Tham khảo gạch porcelain cao cấp
